Gene	GeneSymbol	Chr	start	end	band	cytoband	isCentromer	Position	new_positions
LHFPL3-AS2	LHFPL3-AS2	7	104894628	104926645	q22.3	7q	no	104910636.5	559
RN7SL8P	RN7SL8P	7	104911928	104912193	q22.3	7q	no	104912060.5	560
KMT2E	KMT2E	7	104940943	105115019	q22.3	7q	no	105027981	561
LINC01004	LINC01004	7	104950315	105013068	q22.3	7q	no	104981691.5	562
KMT2E-AS1	KMT2E-AS1	7	105013281	105014321	q22.3	7q	no	105013801	563
SRPK2	SRPK2	7	105110704	105399308	q22.3	7q	no	105255006	564
RWDD4P1	RWDD4P1	7	105301522	105302086	q22.3	7q	no	105301804	565
RNU6-1322P	RNU6-1322P	7	105332790	105332896	q22.3	7q	no	105332843	566
PUS7	PUS7	7	105439661	105522271	q22.3	7q	no	105480966	567
RINT1	RINT1	7	105532169	105567677	q22.3	7q	no	105549923	568
EFCAB10	EFCAB10	7	105565120	105600875	q22.3	7q	no	105582997.5	569
YBX1P2	YBX1P2	7	105582258	105583256	q22.3	7q	no	105582757	570
ATXN7L1	ATXN7L1	7	105604772	105876599	q22.3	7q	no	105740685.5	571
CDHR3	CDHR3	7	105876796	106036432	q22.3	7q	no	105956614	572
SYPL1	SYPL1	7	106090505	106112576	q22.3	7q	no	106101540.5	573
DCAF13P1	DCAF13P1	7	106125371	106126700	q22.3	7q	no	106126035.5	574
RNU6-392P	RNU6-392P	7	106208167	106208267	q22.3	7q	no	106208217	575
NAMPT	NAMPT	7	106248298	106285966	q22.3	7q	no	106267132	576
LARP1BP2	LARP1BP2	7	106315225	106315743	q22.3	7q	no	106315484	577
CCDC71L	CCDC71L	7	106654360	106661158	q22.3	7q	no	106657759	578
LINC02577	LINC02577	7	106774955	106838480	q22.3	7q	no	106806717.5	579
RNA5SP236	RNA5SP236	7	106781600	106781715	q22.3	7q	no	106781657.5	580
PIK3CG	PIK3CG	7	106865278	106908980	q22.3	7q	no	106887129	581
PRKAR2B-AS1	PRKAR2B-AS1	7	107066591	107133733	q22.3	7q	no	107100162	582
DUS4L-BCAP29	DUS4L-BCAP29	7	107563971	107623317	q22.3	7q	no	107593644	583
WBP1LP2	WBP1LP2	7	107628553	107629550	q22.3	7q	no	107629051.5	584
BANF1P5	BANF1P5	7	107642765	107643023	q22.3	7q	no	107642894	585
SLC26A4-AS1	SLC26A4-AS1	7	107650260	107662204	q22.3	7q	no	107656232	586
SLC26A4	SLC26A4	7	107660828	107717809	q22.3	7q	no	107689318.5	587
CBLL1	CBLL1	7	107743949	107761667	q22.3	7q	no	107752808	588
SLC26A3	SLC26A3	7	107765467	107803225	q31.1	7q	no	107784346	589
PIGCP2	PIGCP2	7	107808734	107809568	q31.1	7q	no	107809151	590
DLD	DLD	7	107891162	107931730	q31.1	7q	no	107911446	591
LAMB1	LAMB1	7	107923799	108003213	q31.1	7q	no	107963506	592
LAMB4	LAMB4	7	108023548	108130361	q31.1	7q	no	108076954.5	593
NRCAM	NRCAM	7	108147623	108456717	q31.1	7q	no	108302170	594
PNPLA8	PNPLA8	7	108470417	108569666	q31.1	7q	no	108520041.5	595
RPL7P32	RPL7P32	7	108510233	108510976	q31.1	7q	no	108510604.5	596
THAP5	THAP5	7	108554543	108569750	q31.1	7q	no	108562146.5	597
DNAJB9	DNAJB9	7	108569867	108574850	q31.1	7q	no	108572358.5	598
BUB3P1	BUB3P1	7	108994031	108995029	q31.1	7q	no	108994530	599
EIF3IP1	EIF3IP1	7	109959218	109960184	q31.1	7q	no	109959701	600
RPL3P8	RPL3P8	7	109998434	109999624	q31.1	7q	no	109999029	601
IMMP2L	IMMP2L	7	110662644	111562517	q31.1	7q	no	111112580.5	602
LRRN3	LRRN3	7	111091006	111125454	q31.1	7q	no	111108230	603
DOCK4	DOCK4	7	111726110	112206407	q31.1	7q	no	111966258.5	604
DOCK4-AS1	DOCK4-AS1	7	111808516	111821773	q31.1	7q	no	111815144.5	605
RNA5SP237	RNA5SP237	7	111953653	111953765	q31.1	7q	no	111953709	606
ZNF277	ZNF277	7	112206695	112343934	q31.1	7q	no	112275314.5	607
RN7SKP187	RN7SKP187	7	112288623	112288952	q31.1	7q	no	112288787.5	608
MTND5P8	MTND5P8	7	112372647	112373729	q31.1	7q	no	112373188	609
MTND6P24	MTND6P24	7	112373733	112374250	q31.1	7q	no	112373991.5	610
MTCYBP24	MTCYBP24	7	112374324	112375429	q31.1	7q	no	112374876.5	611
IFRD1	IFRD1	7	112422887	112481017	q31.1	7q	no	112451952	612
LSMEM1	LSMEM1	7	112480853	112491062	q31.1	7q	no	112485957.5	613
NPM1P14	NPM1P14	7	112520488	112521670	q31.1	7q	no	112521079	614
MIPEPP1	MIPEPP1	7	112735166	112738693	q31.1	7q	no	112736929.5	615
TMEM168	TMEM168	7	112762377	112790423	q31.1	7q	no	112776400	616
BMT2	BMT2	7	112819147	112939875	q31.1	7q	no	112879511	617
GPR85	GPR85	7	113078331	113087778	q31.1	7q	no	113083054.5	618
SMIM30	SMIM30	7	113116718	113118560	q31.1	7q	no	113117639	619
PPP1R3A	PPP1R3A	7	113876777	114075920	q31.1	7q	no	113976348.5	620
FOXP2	FOXP2	7	114086327	114693772	q31.1	7q	no	114390049.5	621
RNA5SP238	RNA5SP238	7	114613787	114613906	q31.1	7q	no	114613846.5	622
MIR3666	MIR3666	7	114653345	114653455	q31.1	7q	no	114653400	623
MDFIC	MDFIC	7	114922094	115019917	q31.1	7q	no	114971005.5	624
LINC01393	LINC01393	7	115030564	115126314	q31.2	7q	no	115078439	625
LINC01392	LINC01392	7	115061537	115231355	q31.2	7q	no	115146446	626
RAC1P6	RAC1P6	7	115136475	115137220	q31.2	7q	no	115136847.5	627
POLR2DP2	POLR2DP2	7	115503367	115504081	q31.2	7q	no	115503724	628
SNORA25B	SNORA25B	7	115581315	115581442	q31.2	7q	no	115581378.5	629
TFEC	TFEC	7	115935148	116159896	q31.2	7q	no	116047522	630
TES	TES	7	116210506	116258783	q31.2	7q	no	116234644.5	631
CAV2	CAV2	7	116287380	116508541	q31.2	7q	no	116397960.5	632
CAV1	CAV1	7	116524994	116561179	q31.2	7q	no	116543086.5	633
COMETT	COMETT	7	116563594	116663829	q31.2	7q	no	116613711.5	634
MET	MET	7	116672196	116798377	q31.2	7q	no	116735286.5	635
CAPZA2	CAPZA2	7	116811070	116922049	q31.2	7q	no	116866559.5	636
RNA5SP239	RNA5SP239	7	116944286	116944414	q31.2	7q	no	116944350	637
ST7-AS1	ST7-AS1	7	116952446	116954334	q31.2	7q	no	116953390	638
ST7	ST7	7	116953238	117230176	q31.2	7q	no	117091707	639
ST7-OT4	ST7-OT4	7	116953899	117098806	q31.2	7q	no	117026352.5	640
TPM3P1	TPM3P1	7	116972165	116972911	q31.2	7q	no	116972538	641
MIR6132	MIR6132	7	117020211	117020319	q31.2	7q	no	117020265	642
ST7-AS2	ST7-AS2	7	117072072	117146480	q31.2	7q	no	117109276	643
MTND4P6	MTND4P6	7	117263917	117264388	q31.2	7q	no	117264152.5	644
MTCYBP6	MTCYBP6	7	117264393	117264530	q31.2	7q	no	117264461.5	645
WNT2	WNT2	7	117275451	117323152	q31.2	7q	no	117299301.5	646
CFTR	CFTR	7	117287120	117715971	q31.2	7q	no	117501545.5	647
ASZ1	ASZ1	7	117363222	117428123	q31.2	7q	no	117395672.5	648
ANKRD49P4	ANKRD49P4	7	117439982	117440780	q31.2	7q	no	117440381	649
CFTR-AS1	CFTR-AS1	7	117560733	117564676	q31.2	7q	no	117562704.5	650
CTTNBP2	CTTNBP2	7	117710651	117874139	q31.31	7q	no	117792395	651
LSM8	LSM8	7	118184144	118204035	q31.31	7q	no	118194089.5	652
ANKRD7	ANKRD7	7	118214669	118496171	q31.31	7q	no	118355420	653
GTF3AP6	GTF3AP6	7	118880103	118881288	q31.31	7q	no	118880695.5	654
LINC02476	LINC02476	7	119495024	119907397	q31.31	7q	no	119701210.5	655
RNU1-29P	RNU1-29P	7	120005976	120006101	q31.31	7q	no	120006038.5	656
KCND2	KCND2	7	120273175	120750337	q31.31	7q	no	120511756	657
RNU6-581P	RNU6-581P	7	120672871	120672975	q31.31	7q	no	120672923	658
TSPAN12	TSPAN12	7	120787320	120858402	q31.31	7q	no	120822861	659
ING3	ING3	7	120950763	120977216	q31.31	7q	no	120963989.5	660
RNA5SP240	RNA5SP240	7	120981426	120981553	q31.31	7q	no	120981489.5	661
CPED1	CPED1	7	120988697	121297442	q31.31	7q	no	121143069.5	662
HMGN1P18	HMGN1P18	7	121050927	121051203	q31.31	7q	no	121051065	663
RNA5SP241	RNA5SP241	7	121083700	121083813	q31.31	7q	no	121083756.5	664
RNU6-517P	RNU6-517P	7	121194948	121195057	q31.31	7q	no	121195002.5	665
WNT16	WNT16	7	121325367	121341104	q31.31	7q	no	121333235.5	666
FAM3C	FAM3C	7	121348878	121396364	q31.31	7q	no	121372621	667
CYCSP19	CYCSP19	7	121398452	121398767	q31.31	7q	no	121398609.5	668
RN7SKP277	RN7SKP277	7	121736443	121736725	q31.32	7q	no	121736584	669
PNPT1P2	PNPT1P2	7	121842368	121845131	q31.32	7q	no	121843749.5	670
PTPRZ1	PTPRZ1	7	121873089	122062036	q31.32	7q	no	121967562.5	671
AASS	AASS	7	122064583	122144308	q31.32	7q	no	122104445.5	672
RNU7-154P	RNU7-154P	7	122081720	122081781	q31.32	7q	no	122081750.5	673
FEZF1	FEZF1	7	122301303	122310691	q31.32	7q	no	122305997	674
FEZF1-AS1	FEZF1-AS1	7	122303658	122310119	q31.32	7q	no	122306888.5	675
CADPS2	CADPS2	7	122318411	122886759	q31.32	7q	no	122602585	676
RPS26P31	RPS26P31	7	122681315	122681662	q31.32	7q	no	122681488.5	677
RNF133	RNF133	7	122697735	122699117	q31.32	7q	no	122698426	678
RNF148	RNF148	7	122701668	122702922	q31.32	7q	no	122702295	679
TAS2R16	TAS2R16	7	122994704	122995700	q31.32	7q	no	122995202	680
SLC13A1	SLC13A1	7	123113531	123199972	q31.32	7q	no	123156751.5	681
LYPLA1P1	LYPLA1P1	7	123230120	123230741	q31.32	7q	no	123230430.5	682
IQUB	IQUB	7	123452193	123535077	q31.32	7q	no	123493635	683
RNU6-296P	RNU6-296P	7	123457988	123458094	q31.32	7q	no	123458041	684
NDUFA5	NDUFA5	7	123536997	123557904	q31.32	7q	no	123547450.5	685
ASB15	ASB15	7	123567010	123639481	q31.32	7q	no	123603245.5	686
ASB15-AS1	ASB15-AS1	7	123584859	123624957	q31.32	7q	no	123604908	687
LMOD2	LMOD2	7	123655866	123664290	q31.32	7q	no	123660078	688
WASL	WASL	7	123681943	123749003	q31.32	7q	no	123715473	689
WASL-DT	WASL-DT	7	123749068	123751166	q31.32	7q	no	123750117	690
HYAL6P	HYAL6P	7	123814139	123829252	q31.32	7q	no	123821695.5	691
HYAL4	HYAL4	7	123828983	123877481	q31.32	7q	no	123853232	692
SPAM1	SPAM1	7	123925237	123971414	q31.32	7q	no	123948325.5	693
TMEM229A	TMEM229A	7	124030921	124033067	q31.32	7q	no	124031994	694
SSU72P8	SSU72P8	7	124476371	124476955	q31.33	7q	no	124476663	695
RNU6-102P	RNU6-102P	7	124647719	124647822	q31.33	7q	no	124647770.5	696
GPR37	GPR37	7	124743885	124765792	q31.33	7q	no	124754838.5	697
C7orf77	C7orf77	7	124777292	124790689	q31.33	7q	no	124783990.5	698
POT1	POT1	7	124822386	124929983	q31.33	7q	no	124876184.5	699
POT1-AS1	POT1-AS1	7	124929873	125482966	q31.33	7q	no	125206419.5	700
EEF1GP1	EEF1GP1	7	125033453	125035301	q31.33	7q	no	125034377	701
LINC02830	LINC02830	7	125151326	125153611	q31.33	7q	no	125152468.5	702
PPIAP93	PPIAP93	7	125345825	125346197	q31.33	7q	no	125346011	703
GRM8	GRM8	7	126438598	127253093	q31.33	7q	no	126845845.5	704
MIR592	MIR592	7	127058088	127058184	q31.33	7q	no	127058136	705
GRM8-AS1	GRM8-AS1	7	127215127	127229927	q31.33	7q	no	127222527	706
PRELID3BP10	PRELID3BP10	7	127295620	127296203	q31.33	7q	no	127295911.5	707
ZNF800	ZNF800	7	127346790	127431924	q31.33	7q	no	127389357	708
GCC1	GCC1	7	127580628	127593611	q32.1	7q	no	127587119.5	709
ARF5	ARF5	7	127588386	127591700	q32.1	7q	no	127590043	710
FSCN3	FSCN3	7	127591409	127602144	q32.1	7q	no	127596776.5	711
PAX4	PAX4	7	127610292	127618142	q32.1	7q	no	127614217	712
SND1	SND1	7	127652194	128092609	q32.1	7q	no	127872401.5	713
SND1-IT1	SND1-IT1	7	127997597	128000077	q32.1	7q	no	127998837	714
LRRC4	LRRC4	7	128027071	128032107	q32.1	7q	no	128029589	715
MIR593	MIR593	7	128081861	128081960	q32.1	7q	no	128081910.5	716
MIR129-1	MIR129-1	7	128207872	128207943	q32.1	7q	no	128207907.5	717
LEP	LEP	7	128241278	128257629	q32.1	7q	no	128249453.5	718
RBM28	RBM28	7	128297685	128343908	q32.1	7q	no	128320796.5	719
RNU7-27P	RNU7-27P	7	128344081	128344142	q32.1	7q	no	128344111.5	720
PRRT4	PRRT4	7	128350325	128361685	q32.1	7q	no	128356005	721
IMPDH1	IMPDH1	7	128392277	128410252	q32.1	7q	no	128401264.5	722
RNU7-54P	RNU7-54P	7	128443449	128443510	q32.1	7q	no	128443479.5	723
HILPDA	HILPDA	7	128455849	128458418	q32.1	7q	no	128457133.5	724
METTL2B	METTL2B	7	128476729	128506602	q32.1	7q	no	128491665.5	725
RNU6-177P	RNU6-177P	7	128627172	128627275	q32.1	7q	no	128627223.5	726
CICP14	CICP14	7	128655962	128658791	q32.1	7q	no	128657376.5	727
FAM71F2	FAM71F2	7	128671693	128687877	q32.1	7q	no	128679785	728
IMP3P2	IMP3P2	7	128693450	128693924	q32.1	7q	no	128693687	729
RNA5SP242	RNA5SP242	7	128697439	128697556	q32.1	7q	no	128697497.5	730
RNA5SP243	RNA5SP243	7	128697710	128697744	q32.1	7q	no	128697727	731
FAM71F1	FAM71F1	7	128709061	128731743	q32.1	7q	no	128720402	732
CALU	CALU	7	128739292	128773400	q32.1	7q	no	128756346	733
RN7SL81P	RN7SL81P	7	128761338	128761598	q32.1	7q	no	128761468	734
OPN1SW	OPN1SW	7	128772485	128775794	q32.1	7q	no	128774139.5	735
CCDC136	CCDC136	7	128790757	128822132	q32.1	7q	no	128806444.5	736
FLNC	FLNC	7	128830406	128859274	q32.1	7q	no	128844840	737
FLNC-AS1	FLNC-AS1	7	128850162	128862626	q32.1	7q	no	128856394	738
KCP	KCP	7	128862042	128910719	q32.1	7q	no	128886380.5	739
ATP6V1F	ATP6V1F	7	128862856	128865847	q32.1	7q	no	128864351.5	740
ATP6V1FNB	ATP6V1FNB	7	128866330	128872047	q32.1	7q	no	128869188.5	741
IRF5	IRF5	7	128937457	128950038	q32.1	7q	no	128943747.5	742
TNPO3	TNPO3	7	128954180	129055173	q32.1	7q	no	129004676.5	743
RN7SL306P	RN7SL306P	7	128970734	128971029	q32.1	7q	no	128970881.5	744
ODCP	ODCP	7	129028889	129030527	q32.1	7q	no	129029708	745
TPI1P2	TPI1P2	7	129055223	129057239	q32.1	7q	no	129056231	746
CYCSP20	CYCSP20	7	129117513	129117827	q32.1	7q	no	129117670	747
TSPAN33	TSPAN33	7	129144707	129169699	q32.1	7q	no	129157203	748
RNY1P11	RNY1P11	7	129164849	129164961	q32.1	7q	no	129164905	749
SMO	SMO	7	129188633	129213545	q32.1	7q	no	129201089	750
AHCYL2	AHCYL2	7	129225030	129430211	q32.1	7q	no	129327620.5	751
CDC26P1	CDC26P1	7	129410113	129410370	q32.1	7q	no	129410241.5	752
STRIP2	STRIP2	7	129434432	129488399	q32.1	7q	no	129461415.5	753
SNRPGP3	SNRPGP3	7	129477875	129478101	q32.1	7q	no	129477988	754
RNU1-72P	RNU1-72P	7	129484504	129484656	q32.1	7q	no	129484580	755
SMKR1	SMKR1	7	129502531	129512918	q32.1	7q	no	129507724.5	756
NRF1	NRF1	7	129611720	129757082	q32.2	7q	no	129684401	757
RNA5SP244	RNA5SP244	7	129756266	129756377	q32.2	7q	no	129756321.5	758
MIR182	MIR182	7	129770383	129770492	q32.2	7q	no	129770437.5	759
MIR96	MIR96	7	129774692	129774769	q32.2	7q	no	129774730.5	760
MIR183	MIR183	7	129774905	129775014	q32.2	7q	no	129774959.5	761
UBE2H	UBE2H	7	129830732	129952960	q32.2	7q	no	129891846	762
ZC3HC1	ZC3HC1	7	130018287	130051451	q32.2	7q	no	130034869	763
RNA5SP245	RNA5SP245	7	130027277	130027397	q32.2	7q	no	130027337	764
KLHDC10	KLHDC10	7	130070534	130135705	q32.2	7q	no	130103119.5	765
TMEM209	TMEM209	7	130164713	130207770	q32.2	7q	no	130186241.5	766
SSMEM1	SSMEM1	7	130206344	130216844	q32.2	7q	no	130211594	767
CPA2	CPA2	7	130266863	130289798	q32.2	7q	no	130278330.5	768
CPA4	CPA4	7	130293134	130324180	q32.2	7q	no	130308657	769
CPA5	CPA5	7	130344816	130368730	q32.2	7q	no	130356773	770
CPA1	CPA1	7	130380339	130388114	q32.2	7q	no	130384226.5	771
CEP41	CEP41	7	130393771	130442433	q32.2	7q	no	130418102	772
MESTIT1	MESTIT1	7	130486042	130491033	q32.2	7q	no	130488537.5	773
MEST	MEST	7	130486171	130506465	q32.2	7q	no	130496318	774
MIR335	MIR335	7	130496111	130496204	q32.2	7q	no	130496157.5	775
COPG2	COPG2	7	130506238	130668748	q32.2	7q	no	130587493	776
COPG2IT1	COPG2IT1	7	130538954	130546900	q32.2	7q	no	130542927	777
RNA5SP246	RNA5SP246	7	130602795	130602913	q32.2	7q	no	130602854	778
TSGA13	TSGA13	7	130668643	130687432	q32.2	7q	no	130678037.5	779
KLF14	KLF14	7	130730697	130734207	q32.2	7q	no	130732452	780
H4P1	H4P1	7	130823205	130823511	q32.3	7q	no	130823358	781
LINC00513	LINC00513	7	130853720	130930682	q32.3	7q	no	130892201	782
MIR29A	MIR29A	7	130876747	130876810	q32.3	7q	no	130876778.5	783
MIR29B1	MIR29B1	7	130877459	130877539	q32.3	7q	no	130877499	784
LINC-PINT	LINC-PINT	7	130938963	131110176	q32.3	7q	no	131024569.5	785
RNU6-1010P	RNU6-1010P	7	131054886	131054992	q32.3	7q	no	131054939	786
MKLN1	MKLN1	7	131110096	131496632	q32.3	7q	no	131303364	787
MKLN1-AS	MKLN1-AS	7	131309469	131328312	q32.3	7q	no	131318890.5	788
PODXL	PODXL	7	131500262	131558217	q32.3	7q	no	131529239.5	789
EEF1B2P6	EEF1B2P6	7	131661952	131662624	q32.3	7q	no	131662288	790
NDUFB9P2	NDUFB9P2	7	131753746	131754252	q32.3	7q	no	131753999	791
CAPZA1P4	CAPZA1P4	7	131892616	131893615	q32.3	7q	no	131893115.5	792
PLXNA4	PLXNA4	7	132123340	132648688	q32.3	7q	no	132386014	793
CHCHD3	CHCHD3	7	132784870	133082090	q33	7q	no	132933480	794
MIR3654	MIR3654	7	133034860	133034915	q33	7q	no	133034887.5	795
RNU6-92P	RNU6-92P	7	133082829	133082932	q33	7q	no	133082880.5	796
ST13P7	ST13P7	7	133169416	133170514	q33	7q	no	133169965	797
EXOC4	EXOC4	7	133253073	134066589	q33	7q	no	133659831	798
MIR6133	MIR6133	7	133290881	133290988	q33	7q	no	133290934.5	799
COX5BP3	COX5BP3	7	133727368	133727734	q33	7q	no	133727551	800
RPS3AP27	RPS3AP27	7	133732493	133733595	q33	7q	no	133733044	801
LRGUK	LRGUK	7	134127299	134264591	q33	7q	no	134195945	802
SLC35B4	SLC35B4	7	134289332	134316930	q33	7q	no	134303131	803
AKR1B1	AKR1B1	7	134442356	134459284	q33	7q	no	134450820	804
AKR1B10	AKR1B10	7	134527567	134541412	q33	7q	no	134534489.5	805
AKR1B15	AKR1B15	7	134549110	134579875	q33	7q	no	134564492.5	806
BPGM	BPGM	7	134646811	134679816	q33	7q	no	134663313.5	807
TUBB3P2	TUBB3P2	7	134734898	134735129	q33	7q	no	134735013.5	808
CALD1	CALD1	7	134744252	134970729	q33	7q	no	134857490.5	809
AGBL3	AGBL3	7	134986508	135147963	q33	7q	no	135067235.5	810
CYREN	CYREN	7	135092363	135170795	q33	7q	no	135131579	811
RNF14P4	RNF14P4	7	135128444	135129685	q33	7q	no	135129064.5	812
TMEM140	TMEM140	7	135148072	135166215	q33	7q	no	135157143.5	813
WDR91	WDR91	7	135183839	135211555	q33	7q	no	135197697	814
MIR6509	MIR6509	7	135206994	135207078	q33	7q	no	135207036	815
STRA8	STRA8	7	135231979	135258663	q33	7q	no	135245321	816
SLC23A4P	SLC23A4P	7	135246113	135317752	q33	7q	no	135281932.5	817
CNOT4	CNOT4	7	135361795	135510127	q33	7q	no	135435961	818
SDHDP2	SDHDP2	7	135444461	135444925	q33	7q	no	135444693	819
NUP205	NUP205	7	135557917	135648757	q33	7q	no	135603337	820
STMP1	STMP1	7	135662496	135693418	q33	7q	no	135677957	821
RNU6-1154P	RNU6-1154P	7	135665599	135665702	q33	7q	no	135665650.5	822
SLC13A4	SLC13A4	7	135681231	135729258	q33	7q	no	135705244.5	823
FAM180A	FAM180A	7	135728348	135748813	q33	7q	no	135738580.5	824
MTPN	MTPN	7	135926760	135977359	q33	7q	no	135952059.5	825
RNU6-223P	RNU6-223P	7	135960703	135960809	q33	7q	no	135960756	826
ZP3P2	ZP3P2	7	136485656	136488317	q33	7q	no	136486986.5	827
PSMC1P3	PSMC1P3	7	136713871	136715188	q33	7q	no	136714529.5	828
CHRM2	CHRM2	7	136868652	137020255	q33	7q	no	136944453.5	829
MIR490	MIR490	7	136903167	136903294	q33	7q	no	136903230.5	830
KRT8P51	KRT8P51	7	136938280	136938553	q33	7q	no	136938416.5	831
PTN	PTN	7	137227341	137343774	q33	7q	no	137285557.5	832
DGKI	DGKI	7	137381037	137847092	q33	7q	no	137614064.5	833
CREB3L2	CREB3L2	7	137874979	138002086	q33	7q	no	137938532.5	834
CREB3L2-AS1	CREB3L2-AS1	7	137953348	137957966	q33	7q	no	137955657	835
AKR1D1	AKR1D1	7	138002324	138118305	q33	7q	no	138060314.5	836
RN7SKP223	RN7SKP223	7	138091254	138091315	q33	7q	no	138091284.5	837
RCC2P3	RCC2P3	7	138122202	138124595	q33	7q	no	138123398.5	838
MIR4468	MIR4468	7	138123758	138123821	q33	7q	no	138123789.5	839
PTMAP10	PTMAP10	7	138404195	138404523	q33	7q	no	138404359	840
IMPDH1P3	IMPDH1P3	7	138440690	138442238	q33	7q	no	138441464	841
TRIM24	TRIM24	7	138460259	138589996	q33	7q	no	138525127.5	842
RPS3AP28	RPS3AP28	7	138490581	138491361	q33	7q	no	138490971	843
SVOPL	SVOPL	7	138594285	138701362	q34	7q	no	138647823.5	844
UQCRFS1P2	UQCRFS1P2	7	138701607	138703062	q34	7q	no	138702334.5	845
ATP6V0A4	ATP6V0A4	7	138706294	138799560	q34	7q	no	138752927	846
TMEM213	TMEM213	7	138797952	138838101	q34	7q	no	138818026.5	847
KIAA1549	KIAA1549	7	138831381	138981389	q34	7q	no	138906385	848
RNU6-1272P	RNU6-1272P	7	138876359	138876465	q34	7q	no	138876412	849
ZC3HAV1L	ZC3HAV1L	7	139025706	139036042	q34	7q	no	139030874	850
ZC3HAV1	ZC3HAV1	7	139043515	139132122	q34	7q	no	139087818.5	851
TTC26	TTC26	7	139133744	139191986	q34	7q	no	139162865	852
MZT1P2	MZT1P2	7	139228221	139228605	q34	7q	no	139228413	853
UBN2	UBN2	7	139230356	139308236	q34	7q	no	139269296	854
RNU6-206P	RNU6-206P	7	139315291	139315394	q34	7q	no	139315342.5	855
FMC1	FMC1	7	139339457	139346328	q34	7q	no	139342892.5	856
LUC7L2	LUC7L2	7	139340359	139423457	q34	7q	no	139381908	857
FMC1-LUC7L2	FMC1-LUC7L2	7	139341360	139422599	q34	7q	no	139381979.5	858
RNU6-911P	RNU6-911P	7	139448740	139448843	q34	7q	no	139448791.5	859
KLRG2	KLRG2	7	139452690	139483673	q34	7q	no	139468181.5	860
CLEC2L	CLEC2L	7	139523685	139544985	q34	7q	no	139534335	861
ERHP1	ERHP1	7	139534240	139534549	q34	7q	no	139534394.5	862
HIPK2	HIPK2	7	139561570	139777998	q34	7q	no	139669784	863
TBXAS1	TBXAS1	7	139777051	140020325	q34	7q	no	139898688	864
PARP12	PARP12	7	140023749	140062951	q34	7q	no	140043350	865
KDM7A	KDM7A	7	140084746	140176983	q34	7q	no	140130864.5	866
KDM7A-DT	KDM7A-DT	7	140177184	140179640	q34	7q	no	140178412	867
RNU6-797P	RNU6-797P	7	140209563	140209671	q34	7q	no	140209617	868
RNU1-58P	RNU1-58P	7	140241870	140242032	q34	7q	no	140241951	869
PPP1R2P6	PPP1R2P6	7	140292752	140293339	q34	7q	no	140293045.5	870
SLC37A3	SLC37A3	7	140293693	140404433	q34	7q	no	140349063	871
RNA5SP247	RNA5SP247	7	140370441	140370545	q34	7q	no	140370493	872
RNA5SP248	RNA5SP248	7	140386781	140386907	q34	7q	no	140386844	873
RAB19	RAB19	7	140404058	140427974	q34	7q	no	140416016	874
MKRN1	MKRN1	7	140453033	140479536	q34	7q	no	140466284.5	875
DENND2A	DENND2A	7	140518420	140673993	q34	7q	no	140596206.5	876
RN7SL771P	RN7SL771P	7	140645829	140646126	q34	7q	no	140645977.5	877
ADCK2	ADCK2	7	140672945	140696261	q34	7q	no	140684603	878
NDUFB2	NDUFB2	7	140690777	140722790	q34	7q	no	140706783.5	879
NDUFB2-AS1	NDUFB2-AS1	7	140695336	140697077	q34	7q	no	140696206.5	880
BRAF	BRAF	7	140719327	140924929	q34	7q	no	140822128	881
RNU6-85P	RNU6-85P	7	140884072	140884178	q34	7q	no	140884125	882
CCT4P1	CCT4P1	7	140997952	140999800	q34	7q	no	140998876	883
MRPS33	MRPS33	7	141002610	141015228	q34	7q	no	141008919	884
RNU4-74P	RNU4-74P	7	141052249	141052409	q34	7q	no	141052329	885
TMEM178B	TMEM178B	7	141074064	141480380	q34	7q	no	141277222	886
NDUFB10P2	NDUFB10P2	7	141351977	141352768	q34	7q	no	141352372.5	887
AGK-DT	AGK-DT	7	141500079	141551304	q34	7q	no	141525691.5	888
WEE2-AS1	WEE2-AS1	7	141704003	141738346	q34	7q	no	141721174.5	889
RNU1-82P	RNU1-82P	7	141727984	141728148	q34	7q	no	141728066	890
TAS2R3	TAS2R3	7	141764097	141765197	q34	7q	no	141764647	891
TAS2R4	TAS2R4	7	141776674	141781691	q34	7q	no	141779182.5	892
TAS2R6P	TAS2R6P	7	141787815	141788640	q34	7q	no	141788227.5	893
TAS2R5	TAS2R5	7	141790217	141791367	q34	7q	no	141790792	894
MTCO1P55	MTCO1P55	7	141801315	141802059	q34	7q	no	141801687	895
MTND2P5	MTND2P5	7	141802482	141803487	q34	7q	no	141802984.5	896
MTND1P3	MTND1P3	7	141803701	141804652	q34	7q	no	141804176.5	897
MYL6P4	MYL6P4	7	141811805	141812257	q34	7q	no	141812031	898
PRSS37	PRSS37	7	141836300	141841487	q34	7q	no	141838893.5	899
OR9A3P	OR9A3P	7	141862860	141863737	q34	7q	no	141863298.5	900
OR9A1P	OR9A1P	7	141887148	141888092	q34	7q	no	141887620	901
OR9N1P	OR9N1P	7	141911217	141911943	q34	7q	no	141911580	902
OR9A4	OR9A4	7	141916399	141920625	q34	7q	no	141918512	903
CLEC5A	CLEC5A	7	141927357	141947007	q34	7q	no	141937182	904
TAS2R38	TAS2R38	7	141972631	141973773	q34	7q	no	141973202	905
PIP	PIP	7	143132077	143139739	q34	7q	no	143135908	906
TAS2R39	TAS2R39	7	143183419	143184435	q34	7q	no	143183927	907
